Date,US_Diesel,UK_Diesel,Nigeria_Diesel,,Date,US_Diesel,UK_Diesel,Nigeria_Diesel
3/1/2020,2.729,6.294318972,2.132676,,3/1/2020,114.6638655,264.4671837,89.60823529
4/1/2020,2.493,5.874581467,2.132676,,4/1/2020,104.7478992,246.8311541,89.60823529
5/1/2020,2.392,5.661656485,2.219110461,,5/1/2020,100.5042017,237.8847263,93.23993534
6/1/2020,2.408,5.676150968,2.250612,,6/1/2020,101.1764706,238.4937382,94.56352941
7/1/2020,2.434,5.911823719,2.30958,,7/1/2020,102.2689076,248.3959546,97.04117647
8/1/2020,2.429,5.968966016,2.230956,,8/1/2020,102.0588235,250.7968914,93.73764706
9/1/2020,2.414,5.985360741,2.299752,,9/1/2020,101.4285714,251.4857454,96.62823529
10/1/2020,2.389,5.988225308,2.280096,,10/1/2020,100.3781513,251.6061054,95.80235294
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
